0,0.177
0.05,0.074
0.1,0.125
0.15,0.207
0.2,0.038
0.25,0.039
0.3,0.056
0.35,0.063
0.4,0.152
0.45,0.127
0.5,0.091
0.55,0.17
0.6,0.187
0.65,0.071
0.7,0.059
0.75,0.017
0.8,0.069
0.85,0.074
0.9,0.101
0.95,0.243
1,0.214
1.05,0.107
1.1,0.053
1.15,0.077
1.2,0.005
1.25,0.005
1.3,0.065
1.35,0.133
1.4,0.122
1.45,0.109
1.5,0.062
1.55,0.129
1.6,0.156
1.65,0.096
1.7,0.098
1.75,0.117
1.8,0.038
1.85,0.099
1.9,0.206
1.95,0.165
2,0.18
2.05,0.11
2.1,0.147
2.15,0.218
2.2,0.051
2.25,0.17
2.3,0.221
2.35,0.147
2.4,0.14
2.45,0.131
2.5,0.171
2.55,0.412
2.6,0.274
2.65,0.053
2.7,0.013
2.75,0.017
2.8,0.037
2.85,0.257
2.9,0.311
2.95,0.007
3,0.15
3.05,0.216
3.1,0.012
3.15,0.02
3.2,0.025
3.25,0.033
3.3,0.002
3.35,0.005
3.4,0.003
3.45,0.002
3.5,0.043
3.55,0.182
3.6,0.207
3.65,0.108
3.7,0.216
3.75,0.246
3.8,0.128
3.85,0.005
3.9,0.007
3.95,0.078
4,0.108
4.05,0.036
4.1,0.056
4.15,0.099
4.2,0.276
4.25,0.212
4.3,0.081
4.35,0.1
4.4,0.099
4.45,0.126
4.5,0.002
4.55,0.025
4.6,0.085
4.65,0.078
4.7,0.048
4.75,0.072
4.8,0.06
4.85,0.152
4.9,0.093
4.95,0
5,0.11
5.05,0.225
5.1,0.162
5.15,0.192
5.2,0.236
5.25,0.177
5.3,0.07
5.35,0.164
5.4,0.189
5.45,0.092
5.5,0.033
5.55,0.047
5.6,0.099
5.65,0.216
5.7,0.146
5.75,0.155
5.8,0.231
5.85,0.212
5.9,0.167
5.95,0.057
6,0
6.05,0.086
6.1,0.249
6.15,0.192
6.2,0.022
6.25,0.022
6.3,0.026
6.35,0.065
6.4,0.095
6.45,0.101
6.5,0.217
6.55,0.141
6.6,0.054
6.65,0.002
6.7,0.029
6.75,0.041
6.8,0.005
6.85,0.053
6.9,0.075
6.95,0.058
7,0.099
7.05,0.032
7.1,0.069
7.15,0.074
7.2,0.029
7.25,0.185
7.3,0.221
7.35,0.089
7.4,0.249
7.45,0.196
7.5,0.026
7.55,0.111
7.6,0.21
7.65,0.146
7.7,0.197
7.75,0.201
7.8,0.144
7.85,0.128
7.9,0.133
7.95,0.035
8,0.173
8.05,0.257
8.1,0.257
8.15,0.383
8.2,0.005
8.25,0.005
8.3,0.003
8.35,0
8.4,0.184
8.45,0.29
8.5,0.061
8.55,0.084
8.6,0.036
8.65,0.124
8.7,0.32
8.75,0.297
8.8,0.196
8.85,0.184
8.9,0.185
8.95,1.201
9,2.163
9.05,0.726
9.1,0.788
9.15,0.99
9.2,0.036
9.25,0
9.3,0.078
9.35,0.663
9.4,1.085
9.45,0.401
9.5,0.367
9.55,1.52
9.6,1.719
9.65,0.391
9.7,0.006
9.75,1.294
9.8,17.893
9.85,54.82
9.9,92.024
9.95,120.487
10,131.239
10.05,132.529
10.1,129.146
10.15,125.321
10.2,122.751
10.25,120.364
10.3,121.008
10.35,121.137
10.4,122.854
10.45,123.711
10.5,122.629
10.55,121.388
10.6,119.019
10.65,113.484
10.7,104.496
10.75,98.735
10.8,96.083
10.85,94.735
10.9,95.545
10.95,95.555
11,92.472
11.05,87.047
11.1,81.633
11.15,74.793
11.2,65.755
11.25,52.617
11.3,39.86
11.35,27.235
11.4,19.722
11.45,16.772
11.5,14.753
11.55,12.721
11.6,9.706
11.65,5.875
11.7,3.159
11.75,3.89
11.8,3.303
11.85,3.458
11.9,6.12
11.95,9.867
12,11.766
12.05,12.012
12.1,11.407
12.15,9.655
12.2,7.535
12.25,6.246
12.3,5.062
